S. No.,Name of the Organization,Salary Per Annum (Rs. In Lakhs),Date of Test/ Interview,ECE,CSE,EEE,IT,MECH,PROD,CIVIL,CHEM,BIO- TECH,
174,IBM TECH SUPPORT,3.25,29.03.2012,0,0,0,0,0,1,0,0,0,
175,AMAZON,4.2,09.04.2012,NA,2,NA,0,NA,NA,NA,NA,NA,
176,IDEA CELLULAR,4.25,12.04.2012,4,NA,NA,NA,NA,NA,NA,NA,NA,
177,CSC FOR MBA-FINANCE,3.2,13.04.2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
178,FL SMIDTH PVT LTD,4.5,17.04.2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
179,ASAIN PAINTS,5,19.04.2012,NA,NA,0,NA,1,0,NA,NA,NA,
180,CSC FOR MBA - FINANCE,3.2,19.04.2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
181,CADEPLOY,1.2,10.05.2012,NA,NA,NA,NA,1,2,2,NA,NA,
182,24x7 HEADHUNTING,1.8,15.05.2012,0,2,0,0,0,0,0,NA,NA,
183,HINDUSTAN UNILEVER,5.3,19.06.2012,NA,NA,0,NA,NA,1,NA,NA,NA,
184,SMS COUNTRY,1.2,25.06.2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
185,IDEAL INDUSTRIAL EXPLOSIVE LTD.,1.2,26.062012,NA,NA,NA,NA,NA,NA,NA,3,NA,
186,ORACLE (ITERNSHIP),1.44,13.07.2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
187,ROBERT BOSCH,3.5,09.08.2012,13,NA,7,NA,NA,NA,NA,NA,NA,
188,MAHINDRA & MAHINDRA,5.1,14.08.2012,NA,NA,NA,NA,5,1,NA,NA,NA,
189,GOOGLE,5.7,07.08.2012,0,1,0,0,1,0,0,0,0,
190,ITCLTD,5.6,24.08.2012,NA,NA,0,NA,2,1,NA,NA,NA,
191,DELOITTE,4.6,25.08.2012,4,13,2,6,NA,NA,NA,NA,NA,
192,GE HOME AND BUSINESS SOLUTIONS(INTERNSHIP),1.8,27.08.2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
193,MICROSOFT (MSIT),10.5,28.08.2012,NA,2,NA,0,NA,NA,NA,NA,NA,
194,MICROSOFT (INTERNSHIP),3,28.08.2012,NS,3,NS,1,NA,NA,NA,NA,NA,
195,JP MORGAN CHASE,5,01.09.2012,NA,4,NA,3,NA,NA,NA,NA,NA,
196,COGNIZANT,3.35,07.09.2012,50,54,18,21,17,21,14,20,15,
197,FMC TECHNOLOGIES,6,14.09.2012,NA,NA,NA,NA,0,2,NA,NA,NA,
198,INFOSYS,3.25,15.09.2012,30,18,7,5,9,9,4,4,9,
199,WIPRO,3.25,18.09.2012,45,39,17,10,10,1,6,8,6,
200,GE-ENERGY (INTERNSHIP),2.4,18.09.2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
201,CAPGEMINI,3.05,21.09.2012,4,9,1,1,2,6,4,3,2,
202,CAPITAL IQ,5,28.09.2012,NA,6,NA,0,NA,NA,NA,NA,NA,
203,CADEPLOY,1.2,28.09.2012,NA,NA,NA,NA,NA,NA,5,NA,NA,
204,NET. ORANGE TECHNOLOGIES PVT LTD,4,08.10.2012,NA,3,NA,0,NA,NA,NA,NA,NA,
205,HCL TECHNOLOGIES,3.5,10.10.2012,2,3,0,6,NA,NA,NA,NA,NA,
206,DELL,3,15.10.2012,NA,5,NA,3,NA,NA,NA,NA,NA,
207,INTERGRAPH,3.5,18.10.2012,1,1,0,1,2,1,1,NA,NA,
208,csc,3.27,05.11.2012,3,5,0,8,NA,NA,NA,NA,NA,
209,DELL ENGINEERING SERVICESES,3,"6 &
07.11.2012",NA,NA,NA,NA,3,2,NA,NA,NA,
210,VERIZON,3.5,18.11.2012,1,1,0,1,NA,NA,NA,NA,NA,
211,CA TECHNOLOGIES,5,20.11.2012,2,2,1,1,NA,NA,NA,NA,NA,
212,DELOITTE (DSA),4.64,03.12.2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
213,LIC - LIFE PLUS,1.8,03.12.2012,4,2,2,6,1,2,4,8,3,
214,L & T CONSTRUCTION,4.5,06.12.2012,0,NA,4,NA,3,NA,9,0,NA,
215,ORIENT CEMENTS LTD.,3.75,04.01.2013,NA,NA,1,NA,2,NA,4,4,NA,
216,UNITED SPIRITS,4.5,10.01.2013,NA,NA,NA,NA,NA,1,NA,2,NA,
217,PEGA SYSTEMS,7,17.01.2013,NA,0,NA,1,NA,NA,NA,NA,NA,
218,BRITISH PAINTS,2.75,21.01.2013,NA,NA,NA,NA,NA,NA,NA,1,NA,
219,BANK OF AMERICA,3.5,22.01.2013,5,5,1,1,NA,NA,NA,NA,NA,
220,KOTAK SECURITIES LTD,2,23.01.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
221,TIBCO SOFTWARE,5,24.01.2013,NA,4,NA,2,NA,NA,NA,NA,NA,
222,MEGH ENGINEERING INFRASTRUCTURE LTD,3.1,24.01.2013,NA,NA,NA,NA,NA,NA,2,NA,NA,
223,PROCESS MAP,3.2,29.01.2013,NA,2,NA,0,NA,NA,NA,NA,NA,
224,VERITY KNOWLEDGE SOLUTIONS PVT. LTD.,3.15,31.01.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
225,COGNIZANT,1.8,05.02.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
226,HDFC LIFE,2,08.02.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
227,WELLS FARGO,5,16 &17.02.2013,2,2,0,0,2,0,2,5,NA,
228,ICICI SECURITIES,2.5,21.02.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
229,HARVEST FUTURES CONSULTANTS,1.5,22.02.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
230,NETCRACKER,4.5,"06 &
07.03.2013",3,3,NA,0,NA,NA,NA,NA,NA,
231,MEDHA SERVO DRIVE,3,09.03.2013,1,NA,0,NA,NA,NA,NA,NA,NA,
232,FACE,"B.D. - 5.0 &
Trainee-3.0",20.03.2013,0,3,0,0,5,0,1,3,1,
233,ASTER BUILDING SOLUTIONS PVT. LTD.,3,28.03.2013,NA,NA,NA,NA,0,NA,1,NA,NA,
234,INUIT TECHNOLOGY,3.5,"17 &
18.04.2013",9,4,1,4,0,0,0,1,1,
