S. No.,Name of the Organization,Salary Per Annum (Rs. In Lakhs),Date of Test/ Interview,ECE,CSE,EEE,IT,MECH,PROD,CIVIL,CHEM,BIO- TECH,
836,Nupore Filtration Systems Pvt Ltd,3.0,19.4.2021,NA,NA,NA,NA,NA,NA,NA,1,1,
837,Electronics Arts (EA),15.0,23.4.2021,NA,2,NA,0,NA,NA,NA,NA,NA,
838,Hyundai Transys R&D,3.4,26.4.2021,NA,NA,NA,NA,5,NA,NA,NA,NA,
839,Sanghi Automotive Pvt Ltd,3.8,02.5.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,
840,Godrej & Boyce Mfg,5.5,08.5.2021,NA,NA,0,NA,1,NA,NA,NA,NA,
841,Modak Analytics,4.0,10.5.2021,11,3,NA,2,NA,NA,NA,NA,NA,
842,IndiaMART InterMESH Ltd,3.0,12.5.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,
843,Reputation.com (GB Meeting),13.2,"14.05.2021
& 22.05.2021",NA,4,NA,1,NA,NA,NA,NA,NA,
844,JK Paper Ltd,3.8,19.5.2021,NA,NA,NA,NA,2,NA,NA,3,NA,
845,HCL (PG),6.0,21.5.2021,0,0,0,0,0,0,0,0,0,
846,HCL (B.Tech),4.8,28.5.2021,15,7,8,9,NA,NA,NA,NA,NA,
847,Intellipaat,5.3,30.5.2021,0,0,0,1,0,0,0,0,0,
848,Infosys Specialist Programmer,8.0,"04.06.2021
& 16.06.2021",0,0,0,3,NA,NA,NA,NA,NA,
849,Infosys Digital Specialist Engineer,5.0,"04.06.2021
, 16.06.2021
&",4,1,1,6,NA,NA,NA,NA,NA,
850,Aurobindo Pharma,3.6,05.6.2021,NA,NA,NA,NA,2,0,NA,2,NA,
851,Massmutual,5.0,17.6.2021,13,7,0,11,NA,NA,NA,NA,NA,
852,Transrail Lighting Limited,4.3,29.6.2021,NA,NA,NA,NA,NA,NA,2,NA,NA,
853,Deepsea Technologies Inc,3.5,30.6.2021,NA,NA,NA,NA,3,NA,NA,NA,NA,
854,Arcesium PPO,22.5,30.6.2021,NA,1,NA,0,NA,NA,NA,NA,NA,
855,Cyient,4.6,07.7.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,
856,Aasspaass,5.5,06.7.2021,NA,1,NA,0,NA,NA,NA,NA,NA,
857,Amazon PPO,33.0,07.7.2021,NA,7,NA,2,NA,NA,NA,NA,NA,
858,eAPPSys,4.0,09.7.2021,NA,2,NA,0,NA,NA,NA,NA,NA,
859,VRIZE,4.0,16.7.2021,1,2,1,0,NA,NA,NA,NA,NA,
860,AMD,14.5,20.7.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,
861,Multiplier Solutions,2.62,24.7.2021,1,0,2,0,0,0,0,0,2,
862,Torrent Gas,3.8,02.8.2021,NA,NA,0,NA,4,0,NA,NA,NA,
863,Revature,5.0,01.8.2021,0,1,0,0,0,0,0,0,0,
864,CHRYSO (I) Pvt. Ltd,3.0,05.8.2021,NA,NA,NA,NA,NA,NA,2,NA,NA,
865,Invesco,9.0,20.8.2021,NA,NA,NA,1,NA,NA,NA,NA,NA,
866,Salarpuria Sataa,3.22,20.8.2021,NA,NA,NA,NA,NA,NA,1,NA,NA,
867,Name of the Organization,"Salary Per Annum
(Rs. In Lakhs)",Date of Interview,ECE,CSE,EEE,IT,MEC H,PRO D,CIVIL,CHEM,Bio- Tech,
868,Orient Cement,4.0,28.8.2021,NA,NA,NA,NA,NA,NA,NA,1,NA,
869,BFIL Software,3.5,30.8.2021,NA,1,NA,1,NA,NA,NA,NA,NA,
870,NACL Industries Ltd,3.0,30.8.2021,0,NA,0,NA,NA,NA,NA,1,NA,
871,Infosys (SP),9.5,11.07.2021,0,1,0,0,NA,NA,NA,NA,NA,
872,Infosys (DSE),6.3,11.07.2021,1,3,0,3,NA,NA,NA,NA,NA,
873,Infosys (SE),4.0,11.07.2021,1,4,0,1,0,0,0,0,0,
874,Cognizant GenC Next,6.8,15.07.2022,NA,1,NA,0,NA,NA,NA,NA,NA,
875,Cognizant GenC Pro,4.0,"15.07.2022 &
05.09.2022",25,13,19,9,21,2,9,7,7,
876,JP Morgan Chase & Co. CFG & PPO,17.8,"19.07.2022,
21.10.2022 &
03.11.2022",1,21,0,18,NA,NA,NA,NA,NA,
877,Celigo,16.0,26.07.2022,0,4,0,0,0,0,NA,NA,NA,
878,,,"29.07.2022,",,,,,,,,,,
879,"Oracle (GBU, PDO & OFSS)",18.3,"14.09.2022,
19.10.2022 &",6,19,2,10,NA,NA,NA,NA,NA,
880,,,03.11.2022,,,,,,,,,,
881,Silicon Labs PPO,23.0,29.07.2022,2,NA,NA,NA,NA,NA,NA,NA,NA,
882,Furures First,12.5,01.08.2022,0,0,0,1,0,0,0,0,0,
883,ServiceNow,26.4,02.08.2022,1,4,0,2,NA,NA,NA,NA,NA,
884,Sales Force,12.7,08.08.2022,0,1,0,0,NA,NA,NA,NA,NA,
885,Micron Technology,10.2,10.08.2022,4,4,1,5,1,0,0,0,0,
886,Darwinbox,16.3,10.08.2022,0,3,0,2,NA,NA,NA,NA,NA,
887,Gainsight Software Pvt Ltd,15.0,12.08.2022,0,1,NA,5,NA,NA,NA,NA,NA,
888,Amazon (Support Engg II),9.8,18.08.2022,0,3,NA,3,NA,NA,NA,NA,NA,
889,Barclays,13.3,22.08.2022,NA,17,NA,18,NA,NA,NA,NA,NA,
890,Deloitte Consulting Role,7.6,25.08.2022,17,13,6,19,5,0,1,2,0,
891,Thomson Reuters,7.0,"25.08.2022 &
03.11.2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,
892,IBM-CIO,7.7,29.08.2022,1,1,1,0,NA,NA,NA,NA,NA,
893,Goldman sachs PPO,24.0,31.08.2022,NA,1,NA,2,NA,NA,NA,NA,NA,
894,Arcesium,37.0,02.09.2022,0,2,NA,0,NA,NA,NA,NA,NA,
895,Fix Flyer Infotech,6.0,05.09.2022,1,1,NA,1,NA,NA,NA,NA,NA,
896,Cognizant Elevate,4.3,05.09.2022,3,7,3,7,0,0,0,0,0,
897,Gap Inc,11.7,05.09.2022,0,6,0,0,NA,NA,NA,NA,NA,
898,Bosch,7.5,07.09.2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,
899,Merilytics,6.5,07.09.2022,2,2,1,1,NA,NA,NA,NA,NA,
900,,,"08.09.2022,",,,,,,,,,,
901,Aveva,7.0,28.10.2022 &,5,5,2,1,3,0,NA,3,NA,
902,,,31.10.2022,,,,,,,,,,
903,Ford Motors Pvt Ltd,6.0,10.09.2022,2,5,NA,2,NA,NA,NA,NA,NA,
904,Amazon (SDE Role Off),45.6,08.09.2022,0,0,NA,1,NA,NA,NA,NA,NA,
905,ZL Technologies,10.0,14.09.2022,0,1,0,0,NA,NA,NA,NA,NA,
906,Accenture Adv ASE,6.5,14.09.2022,2,0,0,2,0,0,0,0,0,
907,Accenture ASE,4.5,"14.09.2022 &
21.10.2022",17,20,6,18,5,1,2,1,1,
908,Prodapt (Super Dream),7.5,15.09.2022,0,0,0,1,NA,NA,NA,NA,NA,
909,Prodapt (Dream),5.5,15.09.2022,4,8,0,5,NA,NA,NA,NA,NA,
910,Deliveroo,27,"18.09.2022 &
19.10.2022",NA,0,NA,5,NA,NA,NA,NA,NA,
911,Value Labs (SD Role),27,"21.09.2022 &
26.09.2022",1,6,3,2,NA,NA,NA,NA,NA,
912,Value Labs (SDET Role),19,"21.09.2022 &
26.09.2022",0,0,2,1,NA,NA,NA,NA,NA,
913,Virtusa,7.0,22.09.2022,3,3,0,3,NA,NA,NA,NA,NA,
914,Providence India,27,22.09.2022,0,6,0,0,NA,NA,NA,NA,NA,
915,Pega Systems,16,23.09.2022,0,3,0,4,NA,NA,NA,NA,NA,
916,MindTree,4.0,"26.09.2022,
13.10.2022 &
17.10.2022",19,13,18,20,15,4,8,5,6,
917,IFTAS,5.0,28.09.2022,2,0,0,2,NA,NA,NA,NA,NA,
918,Home First Finance I Ltd,6.0,29.09.2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,
919,CtrlS Cloud4C,6,03.10.2022,11,4,6,4,1,1,5,0,0,
920,PepsiCo GB Services India,10.8,04.10.2022,10,22,3,7,4,0,2,0,0,
921,Alliantgroup,7.2,04.10.2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,
922,Berkadia On & PPO,5.2,"05.10.2022 &
13.10.2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,
923,Virchow,2.4,11.10.2022,NA,NA,NA,NA,NA,NA,NA,NA,11,
924,Dravin Engg (GDT Role),4.5,11.10.2022,NA,NA,NA,NA,1,NA,NA,NA,NA,
925,Dravin Engg (GET Role),3.5,11.10.2022,NA,NA,NA,NA,3,NA,NA,NA,NA,
926,Qualcomm,17.7,11.10.2022,NA,3,NA,1,NA,NA,NA,NA,NA,
927,Hexagon Capability,5.5,11.10.2022,NA,0,NA,5,5,NA,NA,NA,NA,
928,State Street,8.5,12.10.2022,3,2,0,1,0,0,0,0,0,
929,TechnipFMC,7.0,12.10.2022,NA,NA,NA,NA,3,0,NA,NA,NA,
930,DE Shaw Group,21.5,14.10.2022,0,2,0,1,NA,NA,NA,NA,NA,
931,Deloitte Cyber Security Role,7.6,15.10.2022,1,2,0,0,NA,NA,NA,NA,NA,
932,Samsung Semiconductor,21.0,17.10.2022,1,0,0,0,NA,NA,NA,NA,NA,
933,DBS ASIA Hub2,10.8,"21.10.2022,
23.11.2022 &
11.01.2023",NA,20,NA,12,NA,NA,NA,NA,NA,
934,Incture,7.3,27.10.2022,2,4,NA,3,NA,NA,NA,NA,NA,
935,Quantra (Pokarna),6.0,27.10.2022,NA,NA,NA,NA,NA,NA,NA,5,NA,
936,Deloitte Tax (MBA),7.6,27.10.2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,
937,XIT Solutions,4.0,03.11.2022,NA,2,NA,3,NA,NA,NA,NA,NA,
938,SmartServe,9.7,07.11.2022,0,0,0,0,3,0,0,0,0,
939,Mindtree High (CTC),6.5,08.11.2022,0,0,0,0,0,1,0,0,0,
940,Mindtree High (CTC),5.0,08.11.2022,2,1,1,1,0,0,0,1,0,
941,SmartSOCS,6.0,11.11.2022,1,NA,0,NA,0,0,NA,NA,NA,
942,VEDA IIT,3.5,11.11.2022,6,NA,4,NA,NA,NA,NA,NA,NA,
943,Franklin Templeton,4.3,17.11.2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,
944,Acmegrade Info,6.0,18.11.2022,3,2,2,3,10,2,6,NA,NA,
945,Khumbu Systems,7.0,21.11.2022,NA,1,NA,3,NA,NA,NA,NA,NA,
946,MAQ Software,10.0,21.11.2022,NA,2,NA,0,NA,NA,NA,NA,NA,
947,CloudAngles,5.0,22.11.2022,NA,2,3,NA,NA,NA,NA,NA,NA,
948,HSBC Technology India,9.0,22.11.2022,NA,2,2,4,NA,NA,NA,NA,NA,
949,Future First,12.9,23.11.2022,NA,0,NA,1,NA,NA,NA,NA,NA,
950,Berkadia UG,8.5,24.11.2022,NA,1,NA,1,NA,NA,NA,NA,NA,
951,Kreet Technologies Pvt Ltd,6.3,24.11.2022,1,0,0,0,0,0,0,0,0,
952,RACEnergy (Role1),8.0,24.11.2022,1,NA,1,NA,0,0,NA,NA,NA,
953,Searce,6.5,25.11.2022,0,1,1,0,0,0,0,NA,NA,
954,Eleation,4.2,30.11.2022,NA,NA,NA,NA,0,0,3,NA,NA,
955,Demandbase,9.0,01.12.2022,NA,1,NA,NA,NA,NA,NA,NA,NA,
956,PWC India Acceleration Center,6.0,03.12.2022,1,2,3,1,NA,NA,NA,NA,NA,
957,Dr.Reddys Laboratories,3.5,05.12.2022,NA,NA,NA,NA,NA,NA,NA,NA,2,
958,Quest Global,3.3,06.12.2022,1,0,0,1,NA,NA,NA,NA,NA,
959,RACEnergy (Role2),6.0,07.12.2022,0,NA,0,NA,2,0,NA,NA,NA,
960,Broadridge,10.0,07.12.2022,2,0,0,2,NA,NA,NA,NA,NA,
961,Signion Systems,7.0,07.12.2022,2,NA,NA,NA,NA,NA,NA,NA,NA,
962,Polycab India Ltd,6.5,09.12.2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,
963,Renault Nissan Technology,5.8,13.12.2022,0,0,0,NA,0,NA,NA,NA,NA,
964,Simplify Workforce Pvt Ltd,8.0,14.12.2022,0,0,NA,1,NA,NA,NA,NA,NA,
965,Azentio,5.0,20.12.2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,
966,BizAcuity Soft Engg Role-1,8.0,23.12.2022,0,1,NA,0,NA,NA,NA,NA,NA,
967,BizAcuity Soft Engg Role-2,7.0,23.12.2022,3,1,NA,0,NA,NA,NA,NA,NA,
968,Constelli,3.5,02.01.2023,1,0,0,0,NA,NA,NA,NA,NA,
969,ChemVeda,5.0,02.01.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,
970,Apollo24/7,30.0,02.01.2023,0,2,0,0,NA,NA,NA,NA,NA,
971,Arcesium  Ops Specialist Role,7.0,02.01.2023,2,2,NA,1,NA,NA,NA,NA,NA,
972,Intellipaat,9.0,03.01.2023,4,5,7,0,13,2,4,5,0,
973,Medha Servo Drives Pvt Ltd,5.0,03.01.2023,1,NA,0,NA,0,0,NA,NA,NA,
974,Modak,6.0,04.01.2023,1,0,1,2,NA,NA,NA,NA,NA,
975,Verity,8.7,10.01.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,
976,PeopleLink,6.0,10.01.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,
977,Buro Happold,5.0,10.01.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,
978,HIL,4.5,12.01.2023,NA,1,NA,0,NA,NA,NA,NA,NA,
979,GE Appliances,8.0,16.01.2023,NA,0,NA,1,NA,NA,NA,NA,NA,
980,Synopsys PPO,19.3,17.01.2023,3,0,0,0,NA,NA,NA,NA,NA,
981,Invesco,10.0,18.01.2023,0,2,NA,1,1,0,0,2,,
,,,,,,,,,,,,,
